parking,in the parking,img/parking.png
east,aile_gauche,2
key,there is a key on the ground, 4.0
aile_gauche,in the left wing,img/aile_gauche.png
north,cargo1,0,south,dock1,0,up,hall,0
beamer,there is a beamer on the ground, 4.0
cargo1,in the cargo1,img/cargo1.png
north,cargo2,0,south,aile_gauche,0,east,rest,0
magic_cookie,increase your weight capacity, 0.0
cargo2,in the cargo2,img/cargo2.png
south,cargo1,0
pomme,Il y a une pomme par terre,0
dock1,in the dock1,img/dock1.png
north,aile_gauche,1
cle,Il y a une cle par terre, 1
dock2,in the dock2,img/dock2.png
north,aile_droite,0
NONE
reactor,in the reactor room,img/reactor.png
sud,rest,1
NONE
rest,in the rest room,img/rest.png
north,reactor,0,west,cargo1,0,south,hall,0,east,vestiaire,0
NONE
vestiaire,in the change room,img/cloth.png
west,rest,0,south,aile_droite,1
NONE
aile_droite,in the right wing,img/aile_droite.png
north,vestiaire,0,west,hall,0,east,cuisine,0,south,dock2,1
NONE
cuisine,in the kitchen,img/kitchen.png
west,aile_droite,0,south,escalier,0
NONE
escalier,in the staires,img/stairs.png
north,cuisine,0
NONE
hall,in the Hall,img/hall.png
north,rest,0,west,aile_gauche,0,south,commandement,0,east,aile_droite,1
NONE
commandement,in the head quarter,img/commander.png
north,hall,1
NONE
